Violentos;Alerta;Pob;Morad;Urbano;Ingreso;Pobreza;Cesantia;Divorcio;Hsol;Inmig;NIng;Sobrep;Area;Dens;Transp
1887;Bajo;11249;2,57;100;32886;6,75;5,32;12,04;2,51;1,28;0,92;2,74;10,1;1110,1;1,13
5885;Alto;24846;2,91;100;21219;29,47;7,5;8,85;9,82;5,33;0,83;3,29;4,5;5501,8;3,53
3550;Bajo;13334;3,01;100;40369;7,73;9,73;12,05;2,82;0,27;0,57;6,57;3,5;3814,1;13,96
5802;Alto;33836;2,84;100;44734;4,1;6,7;6,81;1,16;0,89;0,8;4,49;14,4;2351,7;7,87
2876;Bajo;11329;2,56;0;27688;7,46;6,74;9,89;0,45;0;0,08;2,1;4,9;2301,7;0,3
3437;Bajo;20457;2,54;100;22194;23,37;8,29;18,77;17,6;5,26;2,55;4,58;10;2035,9;17,9
19749;Alto;110002;2,81;100;27631;16,12;9,91;11,56;9,04;17,74;17,17;6,14;12,8;8617,3;10,61
2014;Bajo;13647;2,82;0;31155;10,96;5,03;13,51;3,73;0,07;0,07;2,96;19,1;716,2;0,11
10832;Alto;75494;2,97;100;25341;13,3;6,29;10,59;3,17;1,32;0,6;2,75;75,7;997,3;1,59
1922;Bajo;12408;3,43;100;46101;2,04;4,97;6,57;0,97;0;0,23;5,72;29,8;416,1;1,69
27690;Alto;140891;3,21;100;26960;18,54;11,04;12,67;13,92;13,3;14,47;10,68;8,7;16110,7;10,55
4495;Alto;27630;2,79;100;31308;12,45;4,07;12;6,92;1,07;0,78;2,91;22,1;1251,2;0,62
3213;Bajo;18482;2,74;0;36582;5,63;2,07;8,41;0,89;0,18;0,12;2,09;13,6;1356,3;0,24
2873;Bajo;11216;2,37;100;31793;6,25;3,44;13,27;2,43;1,75;0,67;2,37;4,2;2685,8;2,89
3038;Bajo;16642;2,64;100;80968;2,36;2,98;7,49;0,31;1,99;0,79;1,95;13;1275,8;11,77
1767;Bajo;10380;2,4;100;20134;20,96;7,43;12,08;6,18;0,41;0,51;2,98;6,8;1526,5;0,17
13234;Alto;87535;3,32;100;35558;11,4;7,37;11,77;4,56;7,45;6,43;9,6;36,9;2372;0,6
2705;Bajo;11238;3,27;0;20393;27,93;14,88;10,56;5,41;12,47;13,84;13,18;3,7;3030,7;0,19
2434;Bajo;11272;3,46;0;29023;7,55;6,41;6,65;0,44;0,42;0,66;16,31;7,9;1432,6;0,9
2991;Bajo;17076;2,65;100;34825;7,38;4,18;12,46;5,93;2,23;1,16;2,19;17,2;992,3;0,31
1585;Bajo;10464;2,74;0;19038;26,24;8,71;14,42;8,41;0,41;0,17;4,32;12;873,5;0
2342;Bajo;13658;2,77;100;43486;2,3;2,6;8,09;0,53;0,27;0,56;2,86;35,7;383;0,65
2895;Bajo;11280;3,05;100;42281;2,34;2,94;7,66;1,07;0,12;0,46;2,57;4,1;2775,6;0,2
2615;Bajo;13798;2,43;0;20146;14,51;4,67;8,36;1,18;0,05;0,27;2,76;9,7;1418,4;0,22
5922;Alto;34598;3,1;100;49981;3,49;3,49;7,6;1,25;1,08;0,51;3,55;18;1925,8;2,11
3182;Bajo;17032;2,52;0;23745;14,7;7,28;15,75;2,11;1,16;0,87;2,98;7,7;2209,7;0,69
3434;Bajo;11234;2,49;100;40926;3,36;4,23;7,41;0,46;0,41;0,86;2,22;3,3;3400,1;1,19
5245;Alto;11488;2,63;100;44672;2,51;4,58;6,5;1;4;1,57;3,42;1,6;7345,3;9,64
2730;Bajo;11766;2,54;0;21318;18,98;7,41;11,62;2,5;1,5;0,52;3,02;4,2;2831,1;0
3015;Bajo;11982;2,75;100;30743;7,67;5,09;7,47;1,22;0,58;0,96;4,05;4,9;2456,7;0,81
13458;Alto;86874;2,43;100;43800;5,58;3,03;11,63;1,11;6,44;2,74;2,43;27,4;3175,7;6,81
2505;Bajo;10610;3,1;0;30535;14,69;6,32;6,96;2,51;1,08;1,06;2,83;4,2;2529,6;0,91
4621;Alto;18692;2,37;100;29693;8,35;4,6;14,68;1,15;1,31;0,75;2,11;4,9;3789,9;3,83
1963;Bajo;11096;2,4;0;22265;28,65;5,77;4,81;1,68;4,14;0,9;1,49;7,4;1503,5;0
5358;Alto;31813;2,62;100;41315;5,65;6,16;10,15;2,27;4,65;2,83;2,9;21,8;1456,1;0,65
4665;Alto;21096;2,26;100;38956;9,61;3,76;13,27;2,39;10,33;2,32;1,37;6,2;3426,9;9,48
9084;Alto;30491;2,96;100;33367;13,62;8,43;13,28;4,26;18,83;15,14;9,33;3,2;9422,4;3,65
1673;Bajo;10266;2,72;85,47;37764;6,77;4,46;10,28;2,17;0,8;1,09;3,47;10,1;1020,1;0,26
4895;Alto;30707;2,98;0;25312;21,46;4,6;8,14;4,02;1,49;0,97;1,95;18,2;1687,6;2,01
5298;Alto;32016;2,95;100;60634;1,98;4,41;4,67;0,66;1,61;1,07;3,55;24,1;1325,9;1,5
31775;Alto;219531;2,63;100;21898;26,17;9,35;12,37;9,92;1,64;0,78;4,09;76,6;2865,6;1,88
5000;Alto;22591;2,74;100;45764;3,26;2,81;9,4;1,5;8,13;6,27;4,1;5,5;4137,5;4,45
2744;Bajo;17592;2,5;0;20606;13,44;5,53;8,07;1,16;0,25;0,51;3;13,7;1286,7;0,06
2012;Bajo;11227;2,65;0;21645;19,55;6,1;13,52;5,18;0,2;0,18;3,32;7,1;1574,2;0,31
3695;Bajo;21977;2,77;0;24365;16,57;7,2;9,99;2,16;0,46;0,51;1,64;11,8;1859,9;0,91
4104;Bajo;28199;2,95;82,6;42530;4,3;3,02;8,12;0,56;0,28;0,35;3,55;34,4;819,5;0,98
9484;Alto;17637;2,65;100;18617;22,33;9,85;12,82;8,05;13,64;14,53;4,58;1,3;14073,6;2,29
3951;Bajo;15791;3,42;0;24128;22,42;15,46;7,91;5,6;14,99;18,35;13,39;4;3912,5;0,91
4593;Alto;32462;2,24;0;15708;24,92;6,68;15,04;3,16;0,51;1,02;1,62;29,9;1086,8;1,06
4991;Alto;19211;2,27;100;32955;2,77;4,89;12,43;1,68;1,8;0,73;1,84;4;4818,2;4,13
3987;Bajo;27925;3,56;0;17876;30;8,13;15,85;6,48;2,78;2,32;2,71;21,7;1285,9;0,21
1989;Bajo;10935;2,78;0;24568;15,12;6,4;13,36;0,7;0;0,34;3,62;10,9;999,5;0
2086;Bajo;12023;2,71;0;25392;13,02;4,37;6,41;1,02;0,62;0,6;2,14;7,6;1582,1;0,91
4543;Alto;29115;2,84;0;22807;24,8;7,58;11,91;3,27;2,2;3,79;5,56;19,6;1487,3;0,19
3436;Bajo;12959;3,01;100;100077;3,88;2,81;4,4;0,6;14,68;5,21;5,25;3,9;3322,8;0,99
3369;Bajo;24309;2,55;97,28;27493;10,91;6,69;11,77;3,01;0,76;1,1;2,19;61,9;392,5;0,58
4130;Bajo;23756;2,59;100;29047;5,16;2,39;11,55;1,43;0,58;0,39;1,32;15,1;1575,7;0,06
2297;Bajo;11618;2,54;0;22098;12,84;7,52;12,29;2,02;0,08;0,78;1,99;9,6;1211,1;0,44
20761;Alto;109602;3,04;100;29881;16,47;10;15,42;11,89;16,29;14,03;11,12;9,5;11537,1;7,5
2527;Bajo;13584;2,47;0;23156;14,9;5,83;12,72;2,51;0,37;0,07;2,04;7,8;1733,5;0,35
3785;Bajo;21128;2,5;100;25547;12,66;7,01;12,04;2,08;0,09;0,55;2,44;8,8;2404,8;0,34
6806;Alto;23936;2,34;100;43043;5;2,55;12,3;1,4;9,16;4,34;2,94;3,6;6731,2;1,71
4085;Bajo;25295;2,53;0;18253;25,16;8,17;14,46;7,97;0,3;0,04;3,47;13,6;1859,4;0,4
14621;Alto;96466;2,51;100;26770;13,39;5,42;10,54;2,83;1,38;1,35;2,64;45,4;2124,3;2,18
2383;Bajo;12361;2,58;0;14456;33,88;8,07;8,36;1,58;1,44;1,49;1,55;5,1;2414,3;0,24
52075;Alto;367302;2,36;100;25708;14,99;6,09;15,18;3,66;1,43;0,88;2,29;190,1;1931,9;1,5
7612;Alto;47089;3,36;100;50451;2,88;4,6;6,83;2,7;8,9;3,15;5,38;19,5;2419,6;5,88
9837;Alto;35701;2,46;100;30786;9,6;7,59;9,73;2,88;3,72;3,18;2,88;3,5;10186,3;17,59
2952;Bajo;17233;2,71;95,07;45191;3,61;5,46;7,89;1,28;2,94;4,32;3,47;11,9;1445,6;0,6
5559;Alto;35317;2,36;100;26472;8,22;4,54;11;0,92;0,66;0,62;1,53;20,8;1694;0,6
3879;Bajo;16139;2,96;100;53840;3,19;2,42;10,28;2,4;13,53;4,43;5,29;4,4;3684,7;3,15
3015;Bajo;17635;2,83;0;35532;9,69;5,31;12,12;1,5;0,2;0,4;3,3;13,4;1314,9;1,88
15176;Alto;99567;2,47;100;31911;8,99;7,07;12,1;2,99;2,01;1,7;2,18;34,2;2910,9;1,41
6138;Alto;33823;2,66;100;41149;3,81;3,78;6,35;0,55;0,31;0,33;2,54;12,1;2793,2;11,79
2672;Bajo;13087;2,62;0;30043;10,66;5,96;14,28;5,65;0,77;0,62;3,1;5,5;2389,5;0,37
2901;Bajo;14997;2,72;4,89;37889;6,25;8,27;10,59;2,63;0,46;0,55;3,01;12,9;1166,8;0,84
2591;Bajo;16996;2,4;0;14868;26,82;8,52;15,41;3,67;0,24;0,58;2,4;10,7;1584,9;0,56
1583;Bajo;10415;2,76;60,25;40059;5,87;6,65;7,42;1,42;0,47;0,1;3,76;30,6;340,2;0,26
3057;Bajo;13068;2,52;0;31298;8,51;3,73;13,65;2,46;0,55;0,29;1,76;5,7;2283,7;0,76
2125;Bajo;11929;2,94;80,58;57963;2,82;4,57;7,29;1,02;3,82;1,07;3,06;19,2;621,2;0,61
2568;Bajo;10621;2,51;100;38128;4,01;3,59;10,63;1,1;0,79;1,07;2,1;5,1;2081,4;1,17
2448;Bajo;14967;2,6;100;36999;4,63;2,87;10,59;1,02;0,32;0,29;1,73;11,8;1269,7;0,37
3018;Bajo;13512;2,73;100;101320;2,25;3,56;5,34;0;6,51;2,96;3,03;5;2713,3;0,88
5712;Alto;31933;2,54;100;20290;21,12;9,51;13,61;5,5;0,46;0,43;3,15;9,2;3468,4;5,42
1894;Bajo;11005;2,92;100;43236;2,84;2,91;6,91;0,71;0,35;0,26;2,81;16,1;684,6;0,44
2672;Bajo;16813;3,02;100;46119;2,66;2,93;5,67;0,46;0,26;0,66;3,67;32,4;519,7;0,53
2514;Bajo;13116;2,44;100;29099;11,52;5,14;13,2;0,86;2,67;0,4;1,49;7,8;1685;2,86
2746;Bajo;16881;2,81;0;58815;2,51;2,28;9,15;0,84;3,97;1,34;2,4;15,3;1106,5;0,72
4947;Alto;17715;2,7;100;55657;1,74;2,21;5,22;0,06;1,14;0,74;2,79;3,4;5241,1;1,73
21034;Alto;131723;3,61;100;32132;18,43;9,08;11,11;7,14;17,45;17,57;16,93;23,6;5570,2;3,24
5410;Alto;32520;2,47;0;24202;10,65;5,79;8,74;1,4;1,68;1,48;2,64;14,9;2177,5;0,91
6479;Alto;44654;2,76;0;21870;21,62;6,51;13,03;3,18;2,31;4,14;5,24;30,2;1478,6;0,07
1759;Bajo;11604;2,98;0;47421;2,87;4,31;7,69;0,97;0,39;0,7;3,37;35,9;322,8;0
3068;Bajo;19807;3,08;74,01;50647;4;4,71;6,73;1,09;0,95;0,6;4,07;29,5;672,2;3,26
1985;Bajo;10040;2,6;0;20674;19,76;10,06;14,64;3,04;5,66;5,88;4,97;5,9;1715,7;0
2832;Bajo;11553;2,05;100;19799;29,43;4,87;9,6;8,12;4,6;1,89;0,44;3,7;3156,6;9,72
6290;Alto;33429;2,79;100;48863;2,72;2,48;7,88;0,54;3,12;1,93;3,3;11,1;3001,9;4,43
25076;Alto;175795;2,42;100;26889;14,62;5,26;14,4;6,51;1,03;0,54;2,97;106,6;1649,7;1,44
2447;Bajo;17457;2,6;0;20349;25,98;6,6;14,53;7,18;0,26;0,3;3,93;15;1162,3;0
4621;Alto;29034;2,27;100;19042;21,65;8,53;16,79;1,57;1,2;1,14;1,87;15,4;1887,3;0,13
2149;Bajo;12476;2,96;100;18549;25,98;8,72;12,03;1,58;2,89;2,95;4,86;11,2;1118,3;0,24
2950;Bajo;19154;3,09;0;26622;22,96;5,77;12,6;8,19;1,81;3,78;8,37;11,4;1675,5;0,2
10437;Alto;61840;2,38;100;20641;18,64;10,83;12,33;6,18;0,66;0,94;2,65;14,6;4248,1;3
6839;Alto;45048;2,75;97,87;29211;16,09;7,29;8,54;5,11;2,31;2,97;6,82;25,7;1751,5;3,9
3822;Bajo;14638;2,46;100;27264;9,92;4,43;11,12;2,51;0,7;0,94;2,17;4,5;3283,8;0,68
2776;Bajo;12236;2,53;100;44495;4,54;1,79;8,2;0,52;1,19;0,75;2,32;4,6;2682,6;1,73
9930;Alto;70218;2,99;100;21824;21,73;4,82;14,78;8,65;0,92;0,62;3,53;51,8;1354,9;3,02
9554;Alto;49998;2,48;100;24898;15,48;8,23;16,08;7,52;19,19;8,9;5,03;8,7;5728,5;7,87
9505;Alto;56958;2,68;100;36192;6,13;3,09;10,66;2,05;1,02;1,17;2,8;17,9;3175,3;1,45
3833;Bajo;19661;2,66;100;34350;5,82;3,23;11,76;1,24;0,16;0,25;2,21;10,5;1879,5;1,69
2904;Bajo;19163;3,12;83,02;42523;4,34;4,82;6,38;0,62;0,4;0,42;2,64;27,5;695,7;1,18
2072;Bajo;12756;2,44;0;21319;19,92;5,75;10,42;2,91;0,16;0,09;2,88;8,7;1461,5;1,25
1886;Bajo;11037;2,6;0;24375;13,39;4,44;11,24;10,64;0;0,79;2,48;9,4;1175,6;0
6247;Alto;34738;2,8;100;36097;5,46;4,26;9,35;3,38;0,98;1,04;4,87;10,9;3181,5;5,23
2938;Bajo;12551;2,61;100;44277;2,12;3,98;7,36;0,49;0,45;0,15;2,41;4,8;2599,8;1,52
2159;Bajo;13367;2,38;0;21114;17,25;4,42;12,09;0,56;0,19;0,28;1,3;16,2;825,7;0,11
4500;Alto;13597;2,47;100;55248;1,73;2,54;6,58;0,98;2,1;0,61;2,42;2,9;4770,2;6,56
3336;Bajo;12929;2,48;0;22955;16,3;10,35;13,08;2,01;0,97;0,72;3,32;3,9;3318,2;2,15
28238;Alto;196637;2,74;100;23270;22,68;8,79;13,3;10,76;0,58;0,45;5,18;112,9;1741,2;1,86
7959;Alto;41333;3,27;100;31889;14,28;8,28;12,21;5,59;16,14;14,45;12,13;9,3;4433;2,57
3364;Bajo;15849;2,83;100;53058;1,8;3,98;6,07;0,03;1,53;0,43;2,16;8,7;1817,1;2,45
3144;Bajo;15004;2,8;100;40216;4,15;2,91;9,52;1,63;0,22;0,52;4,48;7;2156,5;1,47
4555;Alto;22922;2,25;100;30516;6,66;3,15;12,13;1,87;1,58;0,8;0,94;7,6;3001,8;0,66
5690;Alto;24850;2,77;100;46758;8,42;5,32;11,38;7,55;10,45;6,88;6,44;5,1;4870,3;15,52
26731;Alto;182044;2,51;100;19779;26,53;10,39;17,53;10,87;0,52;0,37;3,98;57;3194,8;7,48
12278;Alto;68223;2,34;100;35681;4,98;5,29;13,18;1,46;6,67;3,99;2,83;13,6;5022,3;9,39
2717;Bajo;11708;2,78;100;34990;4,04;3,64;11,15;1,6;0,72;0,29;2,04;5,7;2046,9;0,16
2513;Bajo;13887;2,87;0;29784;11,94;10,08;11,54;1,96;0,26;0,65;6,79;12,9;1079,2;0,89
2188;Bajo;12687;2,51;0;18423;18,95;9,17;14,02;0,72;0,35;0,38;2,39;8,2;1554;0
3861;Bajo;22519;2,78;100;31448;9,83;4,22;10,78;2,84;0,43;0,64;3,05;14,5;1558,2;0,18
2186;Bajo;12403;2,7;97,55;50598;1,55;3,06;7,87;0,36;1,47;0,22;2,78;13,4;923,7;4,03
9120;Alto;48718;2,51;100;44004;7,68;5,02;10,22;6,71;9,48;5,04;4,03;10,2;4794,1;18,8
4593;Alto;23928;2,6;100;25550;14,87;7,85;13,82;3,78;0,54;0,99;2,99;7,8;3064,5;0,33
1792;Bajo;11143;2,99;0;37549;7;6,97;8,52;0,98;0;0,24;3,8;44,2;252,1;0,34
2022;Bajo;11714;2,08;100;31938;4,88;3,2;12,66;2,21;0,46;0;0,92;11,2;1049,6;0,47
5589;Alto;19438;2,27;100;44002;3,5;2,22;14,85;5,61;3,64;1,13;1,57;3,3;5924,1;4,5
5925;Alto;15289;2,39;100;33026;6,09;3,63;11,82;2,4;1,62;1,13;3,05;1,9;8070,6;14,45
5796;Alto;26303;2,67;100;79579;1,23;2,87;7,25;0,17;2,95;1,01;2,23;6,6;3985,3;1,49
2456;Bajo;11151;2,86;0;33000;8,57;3,92;9,53;1,17;0,26;0,25;2,66;6,2;1793,9;0,1
9076;Alto;50686;3,6;100;55730;4,9;4,86;11,8;3,73;15,95;6,95;10,63;14,3;3556,4;3,02
2755;Bajo;16896;3,11;58,3;59967;2,09;4,25;5,53;0,3;0,36;0,83;4,59;27,1;624,4;1,17
10526;Alto;68183;3,01;99,52;54053;2,43;4,65;5,9;0,74;1,45;0,8;4,41;42,6;1600,5;9,72
8344;Alto;48404;2,39;100;41922;8,08;4,77;14,02;3,22;11,75;7,78;3;17,2;2816,8;12,1
72624;Alto;515342;3,21;99,97;23460;25,32;9,85;11,54;3,76;8,24;14,73;9,83;254,2;2027,3;3,13
2345;Bajo;14544;3,12;42,9;46932;4,11;7,29;7,51;0,68;0,21;0,23;5,44;22,6;642,6;1,79
5825;Alto;34882;2,32;100;21053;16,91;6,66;11,2;3,23;0,17;0,49;2,01;14,3;2440,7;4,19
2280;Bajo;13371;2,81;76,34;36634;5,86;7,65;8,68;1,79;0,2;0,59;3,16;17,8;750,7;0,25
1955;Bajo;14865;2,72;0;16574;34,5;7,72;14,98;7,42;0,44;0,31;5,06;13,5;1097,9;0,39
1998;Bajo;15414;2,89;0;22027;20,96;7,84;14,68;3,18;0,83;1,27;3,66;82,5;186,8;0
7406;Alto;24458;2,78;100;45713;3,34;5,04;7,04;0,86;7,81;3,39;4,48;3;8160,3;11,71
2301;Bajo;11207;2,72;96,05;37044;4,73;2,8;6,47;0,42;0,47;0,69;1,7;6,9;1627,4;0,63
3601;Bajo;17400;2,89;100;33265;11,76;4,72;10,65;1,93;14,99;6,09;4,15;7,2;2402;1,19
3947;Bajo;18519;2,82;0;19977;23,4;6,09;6,68;2,28;4,27;0,53;2,21;5;3730,7;0,12
6145;Alto;33574;2,63;100;37473;7,77;5,45;12,72;1,34;1,79;1;2,5;10,2;3283,8;0,1
8790;Alto;57483;2,68;100;19118;20,43;8,33;13,75;2,78;1,52;0,72;2,5;28,7;2006,2;1,25
4161;Bajo;18923;3,27;0;22365;24,31;14,81;10,98;5,49;7,9;14,8;10,98;5,1;3675,8;0,7
2858;Bajo;18334;2,67;100;34704;7,67;6,57;9,32;1,36;0,21;0,66;2,86;30,2;606,1;0,18
1515;Bajo;11389;3,01;0;21483;24,2;9,57;13,03;3,51;3,88;6,47;8,47;11,9;959;0,14
2735;Bajo;14579;2,54;100;32733;9;4,28;9,25;1,72;1,22;0,28;2,04;9;1612,7;0,64
2554;Bajo;15945;2,91;69,81;33219;3,75;5,87;4,98;0,71;0;0,49;2,9;31,4;507,3;0,62
2669;Bajo;11768;2,83;100;60925;2,33;2,72;3,91;0,2;1,38;1,47;3,49;7,5;1561,2;5,31
4654;Alto;28880;2,71;90,75;41450;2,42;2,34;6,78;0,75;1,12;0,68;2,08;24,9;1162,1;1,29
24222;Alto;164164;3,01;100;25533;22,79;10,69;15,47;7,94;8,85;8,34;8,42;57,1;2876,8;1,72
14013;Alto;36118;1,6;100;29314;11,43;7,04;15,57;3,51;14,36;7,53;0,48;1,9;18541,1;5,98
35050;Alto;231636;2,47;100;22785;23,5;8,8;15,12;14,34;2,37;2,55;3,94;37,1;6248,1;10,77
11426;Alto;80071;2,51;92,66;25165;15,04;6,05;11,19;1,3;2,75;0,71;1,85;183,4;436,6;1,22
4211;Bajo;22113;3,27;0;42743;2,85;4,49;8,47;0,76;1,67;1,61;5,11;12,1;1825,7;0,48
3353;Bajo;10152;2,76;100;32069;3,89;3,65;12,08;0,39;0,82;0,66;3,51;2,5;4003,2;3,54
17912;Alto;103439;2,79;100;29351;17,99;10,68;10,84;5,62;10,68;6,99;5,6;14,3;7247,1;2,95
4441;Alto;27910;3,05;100;41733;8,82;5,22;12,2;1,62;1,16;1,33;5,19;20;1397,2;0,05
8588;Alto;55076;2,78;100;25576;18,88;6,83;12,03;2,58;1,29;3,86;5,02;31,2;1765;0,1
2656;Bajo;17885;2,58;0;25689;18,74;5,04;13,98;7,88;6,99;2,92;3,6;23,5;760,4;0,28
3478;Bajo;21174;2,21;99,32;27222;9,5;7,93;9,84;1,81;1,29;0,6;1,68;25,1;842,7;0,84
3146;Bajo;18548;2,93;100;54005;2,48;2,32;5,53;0,46;0,52;0,77;3,11;21,2;877;0,66
13677;Alto;95333;2,56;99,68;26218;15,59;6,51;11,85;5,04;0,95;0,83;3,12;63,6;1499,7;1,06
30150;Alto;207951;2,42;100;32451;11,8;3,97;11,97;6,06;3,01;0,98;1,8;91,3;2277,5;2,79
2907;Bajo;14302;4,18;0;19183;41,77;8,7;2,83;0,25;4,15;1,06;25,69;4,4;3247,5;0,5
16710;Alto;87492;3,29;100;17386;36,56;16,3;16,34;24,19;2,3;7,12;11,93;9,1;9575,4;18,34
2272;Bajo;14816;2,85;0;41006;2,54;4,56;7,53;0,67;0,43;0,17;2,42;23,6;627,3;0,53
19940;Alto;106209;4,06;100;28034;22,51;9,4;9,9;9,19;27,93;29,27;23,29;9,8;10789,2;6,47
3374;Bajo;19530;2,95;69,47;47859;2,89;6,71;8,33;1,31;1,31;0,64;3,24;29,3;666,9;0,4
66002;Alto;465622;2,42;100;25414;17,93;6,32;13,62;4,49;5,13;3,55;3,24;225,6;2063,8;5,04
8395;Alto;56475;2,83;97,18;47482;3,47;4,49;7,65;1,2;4,21;1,68;3,5;39,4;1434;13,8
3010;Bajo;18004;2,54;0;20095;19,21;9,47;11,5;2,46;0,31;0,24;3,07;11,7;1534,6;0,54
25561;Alto;169759;2,66;100;28955;15,3;8,27;10,72;6,24;3,7;3,59;3,42;38,9;4362,9;4,23
3562;Bajo;20807;2,57;0;18683;22,9;7,69;12,92;9,7;0,46;0,39;3,48;13,1;1592,2;0,1
2078;Bajo;12195;2,77;0;23497;18,61;7,89;8,96;1,9;1,13;3,43;4,76;8,1;1504,8;0,28
3233;Bajo;17906;2,42;100;25380;10,82;6,91;11,45;2,55;1,86;2,09;2,45;9;1990,4;0,67
4625;Alto;21884;2,63;100;31063;7,05;5,55;13,14;1,96;1,82;1,07;3,56;7,5;2914,8;1,03
2483;Bajo;10978;2,84;100;53781;1,6;3,8;9,2;1,75;4,13;1,83;3,21;7;1574,9;5,33
4136;Bajo;20585;2,43;100;21310;16,68;8,55;10,45;5,24;0,61;1,95;3,64;6,3;3246;6,18
2509;Bajo;11432;2,54;100;37087;3,14;3,15;9,48;0,44;0,19;0,16;1,82;5,4;2129,8;1,83
14302;Alto;96397;2,35;100;22591;16,08;5,47;15,09;6,48;0,62;0,6;2,42;44,4;2168,8;2,96
61519;Alto;435146;2,45;99,63;26713;15,32;7,23;15,22;7,41;1,03;0,99;3,59;322,7;1348,3;5,78
5682;Alto;36426;2,44;100;21459;18,55;6,99;10,96;3,85;0,23;0,25;1,94;24,3;1496,5;0,07
5160;Alto;19801;2,87;0;22550;20,2;6,3;9,96;2,49;0,71;0,63;3,17;4,1;4879,5;0,96
17676;Alto;94279;3,58;100;38124;9,29;6,64;10,85;3,99;12,82;10,84;14,18;10,1;9323,5;2,29
31278;Alto;188082;2,61;100;36376;11,03;6,48;9,21;6,18;7,38;5,82;4,6;18,7;10040,9;23,23
9849;Alto;61492;2,34;100;42314;5,51;3,29;9,6;0,98;5,78;2,4;1,55;28,2;2183,4;0,56
2115;Bajo;13083;2,95;0;48481;3,23;3,55;8,24;0,58;0,49;0,12;3,31;33,6;389,8;0,23
3088;Bajo;14514;3,58;0;30613;10,89;3,05;5,59;3,07;1,58;0,44;2,32;6,1;2373,3;0,71
15515;Alto;104352;2,86;100;56856;4,22;3,95;10,33;1,5;5,45;2,97;4,12;51,3;2032,4;0,31
6058;Alto;33485;2,47;100;37862;3,71;3,56;7,68;1,25;1,29;0,66;1,81;13,7;2440,2;3,4
2163;Bajo;16433;2,67;100;17959;26,25;9,38;17,86;9,92;0,14;0,2;5,16;17,8;920,9;0,13
6363;Alto;40709;3,03;100;19955;21,16;4,96;12,71;9,21;0,77;0,48;3,35;21,8;1868,8;0,17
111462;Alto;782248;3,13;100;46206;9,31;5,54;11,64;3,89;14,6;9,11;9,31;177,4;4408,8;3,58
3081;Bajo;13954;3,19;0;20628;23,4;5,3;6,63;2,47;0,92;0,63;2,61;4,5;3079;4,1
5037;Alto;29802;3,4;100;46726;5,17;4,16;8,28;0,75;2,57;1,29;2,33;22,2;1342,4;1,59
12327;Alto;33510;2,47;100;41495;8,31;5,54;10,72;2,95;4,78;2,98;3,77;2,2;15151,9;21,82
5355;Alto;33997;2,84;0;28911;15,23;7,17;12,2;3,57;0,55;1,47;5,63;24,4;1395,6;0,11
4463;Alto;28028;2,45;92,67;61144;1,8;2,32;8,45;0,64;2,14;0,62;1,95;20,6;1363,7;10,24
1994;Bajo;14049;2,47;0;20099;19,77;6,23;13,95;5,03;1,1;0,9;2,18;14,3;984,4;0
15141;Alto;27850;4,29;100;25567;21,26;12,22;7,89;8,9;28,59;38,33;26,2;1,2;23054,6;8,67
2910;Bajo;16196;2,48;94,41;30067;9,27;6,53;10,45;3,06;0,93;1,27;2,22;12,9;1251,6;0,16
3943;Bajo;18604;2,65;0;24215;10,69;6,44;9,55;1,41;0,57;0,29;3,05;6,3;2950,2;0,28
2184;Bajo;11538;3,04;100;60688;1,23;2,97;5;0,15;3,01;1,63;4,22;11;1044,2;1,1
2234;Bajo;14731;2,92;68,82;39308;4,44;3,76;9,7;2,52;1,63;0,11;1,78;38,3;384,7;0,69
6872;Alto;43467;2,6;100;22423;21,79;6,9;14,35;11,18;0,92;0,68;3,86;18,7;2319;2,39
2069;Bajo;14621;3,07;60,79;42160;3,14;5,66;7,14;0,76;0,39;0,7;3;38,2;382,5;0,15
4065;Bajo;21907;2,34;0;22257;10,27;4,37;8,73;0,92;0,75;0,69;1,87;10;2182,7;0,33
5473;Alto;30897;2,85;0;26629;15,65;9,04;12,99;4,35;4,02;5,55;5,41;12;2583,4;0,25
56577;Alto;395934;2,49;100;31873;10,83;4,16;13,26;6,75;1,97;1,09;2,8;180,5;2193,2;4,44
2004;Bajo;11451;2,45;0;28919;11,56;8,03;11,68;1,02;1,03;0,87;2,42;11,3;1016,2;0,8
4132;Bajo;27347;2,53;100;25473;12,13;4,09;12,18;5,2;0,57;0,52;2,64;22,6;1210,5;0
21970;Alto;152466;2,45;100;22197;18,18;6,9;15,18;7,21;0,73;0,45;2,78;122,7;1242,6;3,06
3166;Bajo;13038;2,19;100;55748;3,28;2,76;17,18;2,63;2,44;0,48;1,31;4,8;2693,8;13,1
4294;Bajo;24529;3,03;100;56571;2,5;4,08;6,83;1,35;6,32;1,68;3,86;12,7;1929,6;1,39
2630;Bajo;12224;2,97;100;37952;7,03;5,29;8,64;1,69;0,27;1,41;4,13;6,1;2007,9;0,23
5899;Alto;34997;2,79;100;40287;4,28;4,5;9,56;1,6;0,92;0,69;3,82;23,1;1516,5;2,85
2572;Bajo;14467;2,93;84,41;53045;2,51;3,39;4,81;0,46;0,44;0,15;2,37;20,3;712,7;4,98
3248;Bajo;16389;2,67;0;25855;8,8;5,14;11,01;1,2;0,49;0,11;3,28;7,6;2151,9;0,04
